Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2,0.01,-0.00,1.00,-0.00,0.00,0.00
9,0.01,-0.00,1.00,-0.00,0.00,0.00
17,0.01,-0.00,1.00,-0.00,0.00,0.00
24,0.01,-0.00,1.00,-0.00,0.00,0.00
32,0.01,-0.01,1.00,-0.00,0.00,0.00
40,0.01,-0.01,1.00,-0.00,0.00,0.00
48,0.01,-0.01,1.00,-0.00,0.00,0.00
56,0.01,-0.01,1.00,-0.00,0.00,0.00
63,0.01,-0.01,1.00,-0.00,0.00,0.00
71,0.01,-0.00,1.00,-0.00,0.00,0.00
79,0.01,-0.00,1.00,-0.00,0.00,0.00
87,0.01,-0.00,1.00,-0.00,0.00,0.00
94,0.01,-0.01,1.00,0.00,0.00,0.00
102,0.01,-0.00,1.00,-0.00,0.00,0.00
110,0.01,-0.01,1.00,-0.00,0.00,0.00
117,0.01,-0.01,1.00,-0.00,0.00,0.00
126,0.01,-0.01,1.00,-0.00,0.00,0.00
134,0.01,-0.00,1.00,-0.00,0.00,0.00
141,0.01,-0.00,1.00,-0.00,0.00,0.00
149,0.01,-0.01,1.00,-0.00,0.00,0.00
156,0.01,-0.00,1.00,-0.00,0.00,0.00
165,0.01,-0.01,1.00,-0.00,0.00,0.00
173,0.01,-0.01,1.00,-0.00,0.00,0.00
180,0.01,-0.01,1.00,-0.00,0.00,0.00
188,0.01,-0.01,1.00,-0.00,0.00,0.00
196,0.01,-0.01,1.00,-0.00,0.00,0.00
203,0.01,-0.00,1.00,-0.00,0.00,0.00
212,0.01,-0.00,1.00,-0.00,0.00,0.00
219,0.01,-0.00,1.00,-0.00,0.00,0.00
227,0.01,-0.01,1.00,-0.00,0.00,0.00
235,0.01,-0.01,1.00,-0.00,0.00,0.00
242,0.01,-0.01,1.00,-0.00,0.00,0.00
251,0.01,-0.01,1.00,-0.00,0.00,0.00
259,0.01,-0.01,1.00,-0.00,0.00,0.00
266,0.01,-0.01,1.00,-0.00,0.00,0.00
274,0.01,-0.01,1.00,-0.00,0.00,0.00
282,0.01,-0.01,1.00,-0.00,0.00,0.00
289,0.01,-0.01,1.00,-0.00,0.00,0.00
298,0.01,-0.01,1.00,-0.00,0.00,0.00
305,0.01,-0.01,1.00,-0.00,0.00,0.00
313,0.01,-0.01,1.00,-0.00,0.00,0.00
321,0.01,-0.01,1.00,-0.00,0.00,0.00
328,0.01,-0.01,1.00,-0.00,0.00,0.00
337,0.01,-0.01,1.00,-0.00,0.00,0.00
345,0.01,-0.01,1.00,-0.00,0.00,0.00
352,0.01,-0.01,1.00,-0.00,0.00,0.00
360,0.01,-0.00,1.00,-0.00,0.00,0.00
367,0.01,-0.00,1.00,-0.00,0.00,0.00
375,0.01,-0.00,1.00,-0.00,0.00,0.00
384,0.01,-0.00,1.00,-0.00,0.00,0.00
391,0.01,-0.00,1.00,-0.00,0.00,0.00
399,0.01,-0.00,1.00,-0.00,0.00,0.00
407,0.01,-0.00,1.00,-0.00,0.00,0.00
414,0.01,-0.00,1.00,0.00,0.00,0.00
423,0.01,-0.00,1.00,-0.00,0.00,0.00
430,0.01,-0.00,1.00,-0.00,0.00,0.00
438,0.01,-0.00,1.00,-0.00,0.00,0.00
446,0.01,-0.00,1.00,-0.00,0.00,0.00
453,0.01,-0.00,1.00,0.00,0.00,0.00
461,0.01,-0.00,1.00,-0.00,0.00,0.00
470,0.01,-0.00,1.00,-0.00,0.00,0.00
477,0.01,-0.00,1.00,-0.00,0.00,0.00
485,0.01,-0.00,1.00,-0.00,0.00,0.00
492,0.01,-0.00,1.00,-0.00,0.00,0.00
500,0.01,-0.00,1.00,-0.00,0.00,0.00
509,0.01,-0.01,1.00,-0.00,0.00,0.00
516,0.01,-0.00,1.00,-0.00,0.00,0.00
524,0.01,-0.00,1.00,-0.00,0.00,0.00
532,0.01,-0.00,1.00,-0.00,0.00,0.00
539,0.01,-0.00,1.00,-0.00,0.00,0.00
547,0.01,-0.00,1.00,-0.00,0.00,0.00
555,0.01,-0.01,1.00,-0.00,0.00,0.00
563,0.01,-0.00,1.00,0.00,0.00,0.00
571,0.01,-0.00,1.00,0.00,0.00,0.00
578,0.01,-0.00,1.00,0.00,0.00,0.00
586,0.01,-0.00,1.00,0.00,0.00,0.00
595,0.01,-0.00,1.00,-0.00,0.00,0.00
602,0.01,-0.00,1.00,-0.00,0.00,0.00
610,0.01,-0.00,1.00,-0.00,0.00,0.00
617,0.01,-0.00,1.00,-0.00,0.00,0.00
625,0.01,-0.00,1.00,0.00,0.00,0.00
634,0.01,-0.00,1.00,0.00,0.01,0.00
641,0.01,-0.00,1.00,0.00,0.01,0.00
649,0.01,-0.00,1.01,0.00,0.01,0.00
657,0.01,-0.01,1.01,0.00,0.01,0.00
664,0.01,-0.01,1.01,0.00,0.01,0.00
672,0.01,-0.01,1.01,0.00,0.01,0.00
681,0.01,-0.01,1.00,0.00,0.01,0.00
688,0.01,-0.01,1.00,0.00,0.00,0.00
696,0.01,-0.01,1.00,0.00,0.00,0.00
703,0.01,-0.01,1.00,0.00,0.00,0.00
711,0.01,-0.01,1.00,0.00,0.00,0.00
720,0.01,-0.00,1.00,0.00,0.00,0.00
727,0.01,-0.00,1.00,-0.00,0.00,0.00
735,0.01,-0.00,1.00,-0.00,0.00,0.00
743,0.01,-0.00,1.00,-0.00,0.00,0.00
750,0.01,-0.00,1.00,-0.00,0.00,0.00
758,0.01,-0.00,1.00,-0.00,0.00,0.00
766,0.01,-0.00,1.00,-0.00,0.00,0.00
774,0.01,-0.00,1.00,-0.00,0.00,0.00
782,0.01,-0.00,1.00,-0.00,0.00,0.00
789,0.01,-0.01,1.00,-0.00,0.00,0.00
797,0.01,-0.01,1.00,-0.00,0.00,0.00
806,0.01,-0.00,1.00,-0.00,0.00,0.00
813,0.01,-0.00,1.00,-0.00,0.00,0.00
821,0.01,-0.01,1.00,-0.00,0.00,0.00
828,0.01,-0.01,1.00,0.00,0.00,0.00
836,0.01,-0.00,1.00,-0.00,0.00,0.00
844,0.01,-0.00,1.00,-0.00,0.00,0.00
852,0.01,-0.01,1.00,-0.00,0.00,0.00
860,0.01,-0.00,1.00,-0.00,0.00,0.00
868,0.01,-0.01,1.00,-0.00,0.00,0.00
875,0.01,-0.01,1.00,-0.00,0.00,0.00
883,0.01,-0.01,1.00,-0.00,0.00,0.00
892,0.01,-0.01,1.00,-0.00,0.00,0.00
899,0.01,-0.01,1.00,-0.00,0.00,0.00
907,0.01,-0.01,1.00,-0.00,0.00,0.00
914,0.01,-0.01,1.00,-0.00,0.00,0.00
922,0.01,-0.01,1.00,-0.00,0.00,0.00
930,0.01,-0.01,1.00,-0.00,0.00,0.00
938,0.01,-0.01,1.00,-0.00,0.00,0.00
946,0.01,-0.01,1.00,-0.00,0.00,0.00
954,0.01,-0.01,1.00,-0.00,0.00,0.00
961,0.01,-0.01,1.00,-0.00,0.00,0.00
969,0.01,-0.01,1.00,-0.00,0.00,0.00
978,0.01,-0.01,1.00,-0.00,0.00,0.00
985,0.01,-0.01,1.00,-0.00,0.00,0.00
993,0.01,-0.00,1.00,-0.00,0.00,0.00
1000,0.01,-0.01,1.00,-0.00,0.00,0.00
1008,0.01,-0.01,1.00,-0.00,0.00,0.00
1016,0.01,-0.01,1.00,-0.00,0.00,0.00
1024,0.01,-0.01,1.00,-0.00,0.00,0.00
1032,0.01,-0.01,1.00,-0.00,0.00,0.00
1040,0.01,-0.01,1.00,-0.00,0.00,0.00
1048,0.01,-0.01,1.00,-0.00,0.00,0.00
1055,0.01,-0.01,1.00,-0.00,0.00,0.00
1064,0.01,-0.01,1.00,-0.00,0.00,0.00
1072,0.01,-0.01,1.00,-0.00,0.00,0.00
1079,0.01,-0.01,1.00,-0.00,0.00,0.00
1087,0.01,-0.01,1.00,-0.00,0.00,0.00
1095,0.01,-0.01,1.00,-0.00,0.00,0.00
1103,0.01,-0.00,1.00,-0.00,0.00,0.00
1111,0.01,-0.00,1.00,-0.00,0.00,0.00
1119,0.01,-0.00,1.00,-0.00,0.00,0.00
1126,0.01,-0.01,1.00,-0.00,0.00,0.00
1134,0.01,-0.01,1.00,-0.00,0.00,0.00
1142,0.01,-0.01,1.00,-0.00,0.00,0.00
1150,0.01,-0.01,1.00,-0.00,0.00,0.00
1158,0.01,-0.01,1.00,-0.00,0.00,0.00
1166,0.01,-0.01,1.00,-0.00,0.00,0.00
1174,0.01,-0.01,1.00,0.00,0.00,0.00
1181,0.01,-0.01,1.00,0.00,0.00,0.00
1190,0.01,-0.01,1.00,0.00,0.00,0.00
1198,0.01,-0.01,1.00,0.00,0.00,0.00
1205,0.01,-0.01,1.00,0.00,0.00,0.00
1213,0.01,-0.01,1.00,0.00,0.00,0.00
1221,0.01,-0.01,1.00,0.00,0.00,0.00
1228,0.01,-0.01,1.00,0.00,0.00,0.00
1237,0.01,-0.01,1.00,-0.00,0.00,0.00
1245,0.01,-0.01,1.00,-0.00,0.00,0.00
1252,0.01,-0.01,1.00,-0.00,0.00,0.00
1260,0.01,-0.01,1.00,0.00,0.00,0.00
1268,0.01,-0.00,1.00,0.00,0.00,0.00
1276,0.01,-0.00,1.00,0.00,0.01,0.00
1284,0.01,-0.01,1.00,0.00,0.01,0.00
1292,0.01,-0.01,1.00,0.00,0.01,0.00
1299,0.01,-0.01,1.00,0.00,0.01,0.00
1307,0.01,-0.01,1.00,0.00,0.01,0.00
1315,0.01,-0.01,1.00,0.00,0.01,0.00
1324,0.01,-0.01,1.00,0.00,0.01,0.00
1331,0.01,-0.01,1.00,0.00,0.01,0.00
1339,0.01,-0.01,1.00,0.00,0.01,0.00
1347,0.01,-0.01,1.00,0.00,0.01,0.00
1354,0.01,-0.01,1.00,0.00,0.01,0.00
1363,0.01,-0.01,1.00,0.00,0.01,0.00
1371,0.01,-0.01,1.00,0.00,0.01,0.00
1378,0.01,-0.00,1.00,0.00,0.01,0.00
1386,0.01,-0.00,1.00,0.00,0.01,0.00
1394,0.01,-0.01,1.00,0.00,0.01,0.00
1402,0.01,-0.00,1.00,0.00,0.00,0.00
1410,0.01,-0.01,1.00,0.00,0.00,0.00
1418,0.01,-0.01,1.00,0.00,0.01,0.00
1425,0.01,-0.00,1.00,0.00,0.00,0.00
1433,0.01,-0.00,1.00,0.00,0.01,0.00
1441,0.01,-0.00,1.00,-0.00,0.01,0.00
1449,0.01,-0.00,1.00,-0.00,0.01,0.00
1457,0.01,-0.00,1.00,-0.00,0.00,0.00
1465,0.01,-0.00,1.00,0.00,0.00,0.00
1473,0.06,0.02,1.01,-0.00,-0.01,0.13
1480,0.23,-0.06,1.00,-0.00,-0.01,0.23
1489,0.09,-0.02,1.00,-0.00,-0.01,0.24
1497,0.08,-0.01,1.00,-0.00,-0.00,0.26
1504,0.09,-0.01,1.00,-0.00,-0.00,0.29
1512,0.08,-0.01,1.00,-0.00,-0.00,0.31
1520,0.07,-0.01,1.00,-0.00,-0.00,0.33
1527,0.06,-0.01,1.00,-0.00,-0.00,0.33
1536,0.07,-0.01,1.00,-0.00,-0.00,0.30
1544,0.08,-0.01,1.00,0.00,0.00,0.28
1552,0.08,-0.01,1.00,0.00,0.00,0.24
1559,0.09,-0.01,1.00,0.00,0.00,0.22
1567,0.08,-0.01,1.00,0.00,0.00,0.19
1576,0.09,-0.01,1.00,0.00,0.00,0.18
1583,0.10,-0.01,1.00,0.00,0.00,0.17
1591,0.09,-0.02,1.00,0.00,0.00,0.17
1599,0.11,-0.02,1.00,0.00,0.00,0.17
1606,0.10,-0.02,1.00,0.00,0.00,0.17
1615,0.10,-0.01,1.00,0.00,0.00,0.18
1623,0.10,-0.01,1.00,0.00,0.00,0.17
1631,0.11,-0.01,1.00,0.00,-0.00,0.17
1638,0.09,-0.01,1.00,0.00,-0.00,0.17
1646,0.10,-0.01,1.00,0.00,-0.00,0.17
1654,0.09,-0.01,1.00,0.00,-0.00,0.15
1662,0.09,-0.00,1.00,0.00,-0.00,0.14
1670,0.10,0.01,1.00,0.00,-0.00,0.12
1678,0.10,0.00,1.00,0.00,-0.00,0.10
1685,0.11,0.01,1.00,0.00,-0.00,0.08
1693,0.10,0.00,1.00,0.00,-0.00,0.06
1702,0.11,-0.00,1.00,0.00,-0.00,0.05
1709,0.11,-0.01,1.00,0.00,-0.00,0.04
1717,0.12,-0.01,1.00,0.00,-0.00,0.03
1725,0.13,-0.01,1.00,0.00,-0.01,0.03
1732,0.12,-0.01,1.00,0.00,-0.01,0.02
1740,0.14,-0.01,1.00,0.00,-0.01,0.03
1749,0.14,-0.01,1.00,0.00,-0.01,0.03
1757,0.13,-0.01,1.00,0.00,-0.01,0.04
1764,0.14,-0.01,1.00,0.00,-0.01,0.04
1772,0.13,-0.01,1.00,-0.00,-0.01,0.04
1780,0.14,-0.01,1.00,-0.00,-0.00,0.04
1788,0.12,-0.01,1.00,-0.00,-0.00,0.03
1796,0.11,-0.01,1.00,-0.01,-0.00,0.02
1804,0.10,-0.00,1.00,-0.01,-0.01,-0.00
1811,0.10,0.00,1.00,-0.01,-0.01,-0.02
1819,0.11,0.01,1.00,-0.01,-0.00,-0.04
1827,0.13,0.01,1.00,-0.01,0.01,-0.06
1836,0.13,0.01,1.00,-0.01,0.01,-0.07
1843,0.13,0.01,1.00,-0.01,0.01,-0.05
1851,0.12,0.00,1.00,-0.01,0.01,-0.05
1859,0.12,-0.01,1.00,-0.01,0.01,-0.05
1866,0.13,-0.02,1.00,-0.01,0.01,-0.05
1875,0.12,-0.02,1.00,-0.01,0.02,-0.06
1883,0.11,-0.02,1.00,-0.00,0.02,-0.07
1890,0.12,-0.02,1.00,-0.00,0.02,-0.07
1898,0.12,-0.01,1.01,-0.00,0.01,-0.08
1906,0.12,-0.00,1.00,-0.01,0.01,-0.08
1915,0.11,-0.00,1.01,-0.01,0.00,-0.08
1922,0.10,-0.00,1.00,-0.01,-0.00,-0.09
1930,0.11,-0.01,1.00,-0.01,-0.00,-0.09
1938,0.10,-0.01,1.00,-0.01,-0.00,-0.08
1945,0.09,-0.02,1.00,-0.00,-0.00,-0.08
1953,0.09,-0.02,1.01,-0.00,-0.01,-0.10
1962,0.09,-0.03,1.00,-0.00,-0.01,-0.11
1970,0.08,-0.02,1.01,-0.00,-0.01,-0.13
1977,0.06,-0.01,0.99,-0.00,-0.00,-0.14
1985,0.08,-0.01,1.00,-0.01,-0.00,-0.15
1993,0.07,-0.00,1.00,-0.01,0.01,-0.16
2001,0.07,0.00,1.00,-0.01,0.01,-0.15
2009,0.09,0.00,0.99,-0.02,0.02,-0.14
2017,0.07,-0.00,1.00,-0.02,0.03,-0.14
2025,0.06,-0.01,1.00,-0.02,0.03,-0.14
2032,0.07,-0.01,1.00,-0.02,0.03,-0.14
2040,0.05,-0.01,1.00,-0.02,0.03,-0.15
2049,0.03,-0.01,1.01,-0.02,0.01,-0.16
2056,0.03,-0.01,1.00,-0.02,0.01,-0.18
2064,0.02,-0.00,1.00,-0.02,0.02,-0.20
2072,0.01,-0.00,1.00,-0.01,0.02,-0.22
2080,0.00,0.01,1.01,-0.01,0.01,-0.25
2088,-0.01,0.01,1.00,-0.00,0.01,-0.27
2096,0.00,0.01,1.00,-0.00,0.01,-0.27
2104,-0.00,0.01,1.00,0.00,0.02,-0.26
2111,-0.02,-0.01,1.00,0.01,0.03,-0.25
2119,-0.02,-0.02,1.00,0.01,0.02,-0.24
2128,-0.00,-0.04,1.00,0.01,0.01,-0.24
2136,-0.01,-0.05,1.00,0.02,0.01,-0.26
2143,-0.02,-0.05,1.00,0.02,0.01,-0.28
2151,-0.03,-0.05,1.01,0.02,-0.00,-0.31
2159,-0.03,-0.05,1.01,0.02,-0.02,-0.33
2166,-0.04,-0.04,1.01,0.01,-0.02,-0.36
2175,-0.05,-0.03,1.00,0.01,-0.02,-0.38
2183,-0.05,-0.02,1.00,0.00,-0.02,-0.40
2191,-0.06,-0.01,1.00,-0.00,-0.02,-0.41
2198,-0.05,-0.02,1.00,-0.00,-0.02,-0.41
2206,-0.04,-0.01,1.01,-0.00,-0.02,-0.40
2215,-0.04,-0.02,1.00,0.00,-0.02,-0.39
2222,-0.05,-0.02,1.00,0.00,-0.02,-0.37
2230,-0.06,-0.03,1.00,0.00,-0.01,-0.34
2238,-0.05,-0.03,1.00,0.01,-0.01,-0.33
2246,-0.05,-0.03,1.00,0.01,-0.00,-0.32
2253,-0.05,-0.03,1.00,0.01,0.01,-0.31
2262,-0.05,-0.02,1.00,0.02,0.00,-0.30
2270,-0.06,-0.02,1.00,0.02,0.00,-0.30
2277,-0.04,-0.01,1.00,0.02,0.00,-0.29
2285,-0.04,-0.01,1.00,0.02,-0.00,-0.28
2293,-0.04,-0.01,1.00,0.02,-0.00,-0.27
2302,-0.04,-0.02,1.01,0.02,-0.01,-0.25
2309,-0.04,-0.02,1.01,0.02,-0.01,-0.23
2317,-0.03,-0.02,1.00,0.02,-0.01,-0.21
2325,-0.04,-0.03,1.01,0.01,-0.01,-0.20
2332,-0.04,-0.03,1.01,0.01,-0.00,-0.18
2341,-0.03,-0.03,1.00,0.01,0.00,-0.16
2349,-0.04,-0.03,1.01,0.01,0.01,-0.14
2356,-0.04,-0.02,1.00,0.01,0.01,-0.13
2364,-0.04,-0.02,1.00,0.01,0.01,-0.12
2372,-0.03,-0.02,1.00,0.01,0.01,-0.11
2380,-0.03,-0.02,1.00,0.02,0.01,-0.10
2388,-0.03,-0.02,1.00,0.02,0.02,-0.08
2396,-0.02,-0.02,1.00,0.02,0.02,-0.07
2404,-0.02,-0.01,1.01,0.02,0.01,-0.07
2411,-0.03,-0.01,1.01,0.02,0.01,-0.06
2419,-0.03,-0.00,1.01,0.01,-0.00,-0.07
2428,-0.02,0.00,1.01,0.02,0.01,-0.09
2436,-0.01,-0.00,1.01,0.01,0.00,-0.10
2443,-0.02,-0.00,1.01,0.01,-0.01,-0.10
2451,-0.01,0.01,1.00,0.01,-0.01,-0.07
2459,-0.01,0.02,1.00,0.01,-0.01,-0.05
2466,-0.01,0.02,1.00,0.01,-0.01,-0.03
2475,-0.00,0.02,1.00,0.01,-0.01,-0.01
2483,0.01,0.02,1.00,0.01,-0.00,0.00
2490,0.01,0.02,1.00,0.01,-0.00,0.01
2498,-0.00,0.02,1.00,0.01,-0.01,0.02
2506,-0.01,0.02,1.00,0.01,-0.01,0.02
2514,-0.02,0.02,1.00,0.01,-0.01,0.01
2522,-0.04,0.02,1.00,0.01,-0.01,0.01
2530,-0.04,0.02,1.00,0.00,-0.01,0.00
2538,-0.04,0.02,1.01,-0.00,-0.02,-0.01
2545,-0.04,0.02,1.01,-0.01,-0.02,-0.02
2554,-0.06,0.02,1.00,-0.01,-0.02,-0.03
2562,-0.02,0.02,1.01,-0.00,-0.02,-0.05
2569,0.00,0.02,1.00,-0.00,-0.02,-0.05
2577,-0.00,0.02,1.00,0.00,-0.01,-0.06
2585,-0.00,0.02,1.00,0.01,-0.01,-0.06
2592,-0.01,0.01,1.00,0.01,-0.01,-0.06
2601,-0.01,0.01,0.99,0.01,0.01,-0.06
2609,-0.06,0.01,0.99,0.01,0.01,-0.06
2617,-0.00,0.03,1.00,0.00,0.01,-0.07
2624,-0.03,0.01,1.00,0.00,0.01,-0.08
2632,-0.10,0.02,0.99,0.00,-0.02,-0.08
2641,0.00,0.03,1.00,0.00,-0.02,-0.09
2648,-0.01,0.02,1.00,0.00,-0.01,-0.09
2656,-0.01,0.02,0.99,0.00,0.01,-0.08
2664,-0.00,0.02,1.00,-0.00,0.03,-0.06
2672,0.00,0.00,1.00,0.00,0.03,-0.06
2679,-0.01,-0.01,1.01,0.00,0.02,-0.09
2688,-0.01,-0.01,1.01,0.00,0.01,-0.11
2696,-0.01,-0.02,1.01,0.01,0.00,-0.12
2703,-0.02,-0.02,1.00,0.00,0.01,-0.14
2711,-0.02,-0.00,1.00,-0.00,0.01,-0.14
2719,-0.02,0.01,1.00,-0.00,0.02,-0.12
2727,-0.01,0.03,1.00,-0.01,0.02,-0.09
2735,0.00,0.04,1.01,-0.01,0.01,-0.06
2743,-0.00,0.04,1.00,-0.01,0.02,-0.01
2751,-0.00,0.03,1.00,-0.00,0.01,0.02
2758,0.01,0.01,1.00,-0.00,0.02,0.04
2767,0.01,-0.03,1.00,-0.00,0.02,0.02
2775,-0.01,-0.04,1.00,-0.00,0.01,-0.00
2782,-0.00,-0.07,1.00,-0.00,0.02,-0.04
2790,0.00,-0.05,1.00,-0.01,0.02,-0.07
2798,-0.02,-0.03,1.00,-0.01,0.02,-0.06
2805,-0.00,-0.00,1.00,-0.00,0.03,-0.05
2814,-0.00,-0.01,1.00,0.00,0.02,-0.07
2822,0.00,0.01,1.00,-0.00,0.01,-0.04
2830,0.02,0.04,1.00,-0.00,-0.00,-0.00
2837,0.03,0.03,1.00,-0.00,-0.02,0.01
2845,0.03,0.03,1.01,-0.00,-0.02,0.02
2854,0.03,0.00,1.01,-0.00,-0.04,-0.01
2861,0.04,-0.02,1.00,-0.00,-0.05,-0.05
2869,0.02,-0.03,1.00,-0.00,-0.04,-0.08
2877,-0.00,-0.02,1.00,-0.00,-0.04,-0.11
2884,0.00,-0.03,1.00,-0.00,-0.04,-0.14
2892,-0.00,-0.02,1.00,-0.00,-0.04,-0.15
2901,0.01,-0.00,1.00,-0.00,-0.04,-0.13
2909,0.00,0.01,1.01,-0.00,-0.04,-0.12
2916,0.01,0.02,1.00,-0.00,-0.04,-0.11
2924,0.04,0.02,1.00,-0.00,-0.04,-0.11
2932,0.03,0.03,1.00,-0.00,-0.04,-0.09
2940,0.03,0.04,1.00,-0.00,-0.04,-0.08
2948,0.02,0.03,1.00,-0.00,-0.04,-0.08
2956,0.02,0.03,1.00,0.00,-0.03,-0.09
2964,-0.00,0.02,1.00,0.00,-0.03,-0.09
2971,0.01,0.00,1.00,0.00,-0.03,-0.11
2979,-0.01,-0.00,1.00,0.00,-0.03,-0.12
2988,0.02,-0.01,1.00,0.00,-0.02,-0.16
2995,0.02,-0.03,1.01,0.00,-0.02,-0.19
3003,0.03,-0.01,1.00,0.00,-0.03,-0.21
3011,0.03,-0.01,1.00,0.00,-0.03,-0.22
3018,0.01,0.03,1.00,0.00,-0.02,-0.18
3027,0.00,0.05,1.00,0.00,-0.01,-0.14
3035,0.00,0.05,1.00,-0.00,0.01,-0.11
3043,-0.01,0.05,1.00,-0.00,0.01,-0.08
3050,-0.01,0.05,1.00,-0.00,0.02,-0.06
3058,-0.02,0.03,1.00,-0.00,0.03,-0.05
3067,-0.02,0.01,1.00,-0.00,0.03,-0.05
3074,-0.01,0.00,1.00,-0.00,0.02,-0.03
3082,-0.01,-0.01,1.00,-0.00,0.02,-0.02
3090,-0.01,-0.04,0.99,-0.00,0.05,-0.04
3098,-0.01,-0.03,1.01,-0.00,0.04,-0.05
3105,-0.01,-0.02,1.00,0.00,0.03,-0.04
3114,-0.00,-0.01,1.01,0.00,0.03,-0.05
3122,-0.00,-0.01,1.01,0.00,0.02,-0.07
3129,-0.01,-0.01,1.00,0.00,0.02,-0.08
3137,-0.01,0.00,1.00,0.00,0.01,-0.07
3145,-0.02,0.01,1.00,0.00,0.01,-0.07
3154,-0.02,0.00,1.00,0.00,0.01,-0.06
3161,-0.03,-0.00,1.00,0.00,0.01,-0.06
3169,-0.02,-0.01,1.00,0.00,0.01,-0.06
3177,-0.01,-0.01,1.00,0.00,0.01,-0.06
3184,-0.02,-0.02,1.00,0.00,0.01,-0.06
3192,0.01,-0.01,1.00,0.00,0.00,-0.06
3201,0.01,-0.01,1.01,0.00,-0.00,-0.06
3208,0.01,-0.01,1.00,0.00,-0.00,-0.06
3216,0.02,-0.01,1.00,0.00,-0.01,-0.05
3224,0.02,-0.01,1.00,0.00,-0.01,-0.07
3232,0.02,-0.02,1.00,0.00,-0.00,-0.08
3240,0.01,-0.02,1.00,0.00,-0.00,-0.08
3248,-0.02,-0.02,1.01,0.00,-0.00,-0.07
3256,-0.01,-0.01,1.01,0.00,-0.00,-0.04
3263,-0.01,-0.01,1.00,0.00,0.00,-0.02
3271,0.00,-0.02,1.01,0.00,-0.00,-0.03
3280,-0.00,-0.03,1.00,0.00,0.00,-0.05
3287,0.00,-0.02,1.00,0.00,-0.01,-0.04
3295,-0.00,-0.02,1.00,0.00,-0.01,-0.03
3303,-0.00,-0.02,1.00,0.00,-0.01,-0.01
3311,-0.00,-0.02,1.01,0.00,-0.01,0.00
3318,-0.01,-0.02,1.00,0.00,-0.01,0.01
3327,-0.00,-0.02,1.00,0.00,-0.02,0.01
3335,-0.00,-0.02,1.00,0.00,-0.02,0.00
3342,-0.00,-0.02,1.00,0.00,-0.03,-0.01
3350,-0.00,-0.02,1.00,0.00,-0.02,-0.03
3358,0.01,-0.03,1.00,0.00,-0.02,-0.06
3366,0.01,-0.03,1.00,0.00,-0.02,-0.08
3374,-0.00,-0.03,1.00,0.00,-0.02,-0.09
3382,-0.01,-0.02,1.00,0.00,-0.02,-0.11
3389,-0.00,-0.02,1.00,0.00,-0.02,-0.13
3397,-0.01,-0.01,1.00,0.00,-0.02,-0.14
3405,-0.01,-0.01,1.00,0.00,-0.02,-0.13
3414,0.01,-0.00,1.00,0.00,-0.02,-0.13
3421,-0.01,0.00,1.00,0.00,-0.03,-0.11
3429,-0.01,0.02,1.00,0.00,-0.03,-0.08
3437,0.00,0.01,1.01,0.00,-0.03,-0.06
3444,-0.03,0.01,1.00,0.00,-0.02,-0.04
